epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00226,1.42014,4.12798,1.19457,0.00205,0.07143,0.00166,0.0006,1.28425,4.09334,1.07231,0,0,0
2,7.63024,1.4478,4.13621,1.22857,0.00207,0.07143,0.00191,0.00078,1.27618,4.09123,1.07141,1.23763e-05,1.23763e-05,1.23763e-05
3,11.2435,1.43933,4.14146,1.16477,0.00211,0.07143,0.00194,0.00092,1.2669,4.08416,1.06775,2.4505e-05,2.4505e-05,2.4505e-05
4,14.8063,1.31958,4.07047,1.15618,0.00212,0.07143,0.002,0.00088,1.25611,4.0729,1.05804,3.63862e-05,3.63862e-05,3.63862e-05
5,18.3519,1.52278,4.16988,1.18058,0.00219,0.07143,0.00273,0.0014,1.24708,4.06012,1.04723,4.802e-05,4.802e-05,4.802e-05
6,21.8788,1.52624,4.12438,1.19378,0.00228,0.07143,0.00308,0.00158,1.2451,4.0466,1.0433,5.94062e-05,5.94062e-05,5.94062e-05
7,25.4642,1.25518,3.90657,1.15772,0.00315,0.07476,0.004,0.00192,1.24502,4.02959,1.0288,7.0545e-05,7.0545e-05,7.0545e-05
8,28.985,1.28874,3.88328,1.15955,0.00321,0.07476,0.00436,0.00238,1.25519,4.01117,1.02063,8.14362e-05,8.14362e-05,8.14362e-05
9,32.4613,1.18169,3.7755,1.0807,0.00502,0.1019,0.0261,0.00731,1.26703,3.99606,1.015,9.208e-05,9.208e-05,9.208e-05
10,36.1632,1.18672,3.78347,1.02251,0.0054,0.1019,0.03064,0.0108,1.27759,3.98397,1.00725,0.000102476,0.000102476,0.000102476
11,39.7271,1.33381,3.67223,1.11992,0.00571,0.1019,0.03808,0.02094,1.29037,3.96455,0.99901,0.000112625,0.000112625,0.000112625
12,43.2642,1.21647,3.57812,1.03357,0.00722,0.12571,0.04883,0.03455,1.30023,3.94761,0.99612,0.000122526,0.000122526,0.000122526
13,46.7918,1.20513,3.47565,1.0132,0.00778,0.12571,0.05006,0.03822,1.31764,3.92726,0.99477,0.00013218,0.00013218,0.00013218
14,50.3198,1.29459,3.57072,1.06662,0.0107,0.17333,0.07366,0.05595,1.3295,3.91113,0.9976,0.000141586,0.000141586,0.000141586
15,53.7287,1.32422,3.39835,1.00642,0.01336,0.20381,0.0723,0.05473,1.33706,3.8843,0.99271,0.000150745,0.000150745,0.000150745
