epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94597,1.48874,4.19824,1.16204,0.00115,0.05357,0.00089,0.00033,1.35937,4.14114,1.0748,0,0,0
2,11.3531,1.48637,4.16228,1.22669,0.00116,0.05357,0.0009,0.0004,1.35075,4.14062,1.07334,1.23763e-05,1.23763e-05,1.23763e-05
3,16.5809,1.39451,4.12206,1.24683,0.00118,0.05357,0.00096,0.00045,1.33791,4.13629,1.06657,2.4505e-05,2.4505e-05,2.4505e-05
4,21.8882,1.4892,4.16363,1.23836,0.0012,0.05357,0.00102,0.00051,1.31411,4.12976,1.05684,3.63862e-05,3.63862e-05,3.63862e-05
5,27.4392,1.46904,4.10696,1.21997,0.00124,0.05357,0.00108,0.00051,1.29812,4.11568,1.04651,4.802e-05,4.802e-05,4.802e-05
6,32.6058,1.41459,4.06684,1.16735,0.00126,0.05357,0.00154,0.00056,1.28711,4.11168,1.03938,5.94062e-05,5.94062e-05,5.94062e-05
7,37.9084,1.2674,4.00482,1.10001,0.00173,0.05607,0.00264,0.0016,1.27751,4.09748,1.02966,7.0545e-05,7.0545e-05,7.0545e-05
8,43.2315,1.32839,3.93596,1.12877,0.00177,0.05607,0.00328,0.00231,1.27933,4.08543,1.02533,8.14362e-05,8.14362e-05,8.14362e-05
9,48.3517,1.35054,3.95104,1.0417,0.00228,0.07393,0.01483,0.00447,1.27126,4.06521,1.01047,9.208e-05,9.208e-05,9.208e-05
10,53.4574,1.33275,3.92429,1.09785,0.0019,0.07143,0.033,0.00766,1.27698,4.05083,1.00441,0.000102476,0.000102476,0.000102476
11,58.7291,1.3626,3.80273,1.09155,0.002,0.07143,0.0335,0.00959,1.28872,4.03513,1.00216,0.000112625,0.000112625,0.000112625
12,64.0539,1.23881,3.71272,1.05722,0.00212,0.07143,0.04637,0.02315,1.28945,4.02452,0.99324,0.000122526,0.000122526,0.000122526
13,69.2852,1.34625,3.62503,1.0686,0.00279,0.08929,0.04396,0.02643,1.29605,4.01647,0.9941,0.00013218,0.00013218,0.00013218
14,74.5742,1.34148,3.65516,1.0503,0.00444,0.125,0.04578,0.02873,1.29636,4.00289,0.99373,0.000141586,0.000141586,0.000141586
15,79.7959,1.31467,3.45582,1.08482,0.006,0.14536,0.05036,0.02931,1.30027,3.99106,0.99247,0.000150745,0.000150745,0.000150745
16,85.1293,1.45561,3.39875,1.03527,0.00739,0.15036,0.04444,0.03252,1.29922,3.97518,0.98949,0.000159656,0.000159656,0.000159656
17,90.4061,1.27945,3.37658,0.98905,0.00792,0.15286,0.04802,0.03797,1.29463,3.95026,0.98538,0.00016832,0.00016832,0.00016832
18,95.4371,1.37446,3.24748,1.05427,0.00792,0.15286,0.04802,0.03797,1.29463,3.95026,0.98538,0.000176736,0.000176736,0.000176736
19,100.823,1.3699,3.22399,1.05029,0.00889,0.16476,0.05825,0.04624,1.28826,3.92646,0.9819,0.000184905,0.000184905,0.000184905
20,105.847,1.32898,3.14856,0.9996,0.00889,0.16476,0.05825,0.04624,1.28826,3.92646,0.9819,0.000192826,0.000192826,0.000192826
21,110.935,1.33061,3.16731,0.99911,0.00922,0.16476,0.06479,0.05014,1.29751,3.89985,0.98478,0.0002005,0.0002005,0.0002005
22,116.093,1.28302,3.09421,1.00926,0.00922,0.16476,0.06479,0.05014,1.29751,3.89985,0.98478,0.000207926,0.000207926,0.000207926
23,121.491,1.27182,2.85376,0.9886,0.01053,0.20643,0.07749,0.06129,1.31905,3.87659,0.99136,0.000215105,0.000215105,0.000215105
24,126.89,1.46253,3.12363,1.00817,0.01053,0.20643,0.07749,0.06129,1.31905,3.87659,0.99136,0.000222036,0.000222036,0.000222036
25,132.212,1.26732,2.90671,0.98511,0.01052,0.22083,0.11437,0.08715,1.33249,3.86272,1.00037,0.00022872,0.00022872,0.00022872
26,137.492,1.24624,2.489,0.98947,0.01052,0.22083,0.11437,0.08715,1.33249,3.86272,1.00037,0.000235156,0.000235156,0.000235156
27,142.646,1.34442,2.74686,1.01181,0.89337,0.10714,0.13745,0.10453,1.34039,3.84394,1.00861,0.000241345,0.000241345,0.000241345
28,147.874,1.3032,2.58867,0.99863,0.89337,0.10714,0.13745,0.10453,1.34039,3.84394,1.00861,0.000247286,0.000247286,0.000247286
29,153.221,1.35009,2.73243,0.98719,0.94505,0.08929,0.13479,0.10264,1.34424,3.82857,1.01854,0.00025298,0.00025298,0.00025298
30,158.443,1.2545,2.26351,0.97161,0.94505,0.08929,0.13479,0.10264,1.34424,3.82857,1.01854,0.000258426,0.000258426,0.000258426
31,163.635,1.24324,2.27685,0.95998,1,0.06966,0.13791,0.10992,1.34785,3.81881,1.02212,0.000263625,0.000263625,0.000263625
32,168.84,1.25304,2.18674,0.95689,1,0.06966,0.13791,0.10992,1.34785,3.81881,1.02212,0.000268576,0.000268576,0.000268576
33,174.059,1.38537,2.43231,1.0155,0.95215,0.05357,0.1246,0.10113,1.34268,3.82209,1.0273,0.00027328,0.00027328,0.00027328
